Crop,Season,State,Area,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Groundnut,Kharif     ,Goa,350,Red/Yellow Soil,low,Low,High,Low,2146.775048,2507.2
Groundnut,Rabi       ,Goa,1048,Red/Yellow Soil,high,High,Medium,High,2372.892785,2807.4
Ragi,Kharif     ,Goa,2500,Red/Yellow Soil,low,Low,High,High,2353.253147,3343.3
Rice,Kharif     ,Goa,41000,Black Soil,high,High,Low,High,2338.606441,3025
Rice,Rabi       ,Goa,15439,Black Soil,high,High,Medium,High,2639.933379,3938.2
Sugarcane,Whole Year ,Goa,1320,Laterile Soil,low,Average,High,Low,2523.714341,2959.7
Cotton(lint),Kharif     ,Karnataka,636495,Black Soil,high,Average,Medium,High,2413.553191,2981.7
Groundnut,Kharif     ,Karnataka,1012577,Laterile Soil,low,Low,High,Low,2554.903878,3054.8
Groundnut,Rabi       ,Karnataka,217445,Alluvial Soil,high,Average,Medium,Low,2202.541888,3163.8
Onion,Kharif     ,Karnataka,79921,Red/Yellow Soil,low,Average,High,Low,2531.583587,2701.2
Onion,Rabi       ,Karnataka,8882,Red/Yellow Soil,high,High,Low,High,2545.180748,3216.4
Onion,Summer     ,Karnataka,4797,Red/Yellow Soil,low,Low,Medium,Medium,2049.085942,2762.8
Potato,Kharif     ,Karnataka,28755,Red/Yellow Soil,low,High,High,Medium,2798.708126,2619
Potato,Rabi       ,Karnataka,4173,Red/Yellow Soil,high,Low,Medium,Low,2235.569888,3370.8
Potato,Summer     ,Karnataka,1137,Red/Yellow Soil,high,Average,Low,Medium,2527.09294,2998.6
Potato,Whole Year ,Karnataka,268,Alluvial Soil,low,Low,Low,Medium,2849.323522,3323
Ragi,Kharif     ,Karnataka,986173,Laterile Soil,low,Average,Low,High,2777.703027,2991.1
Ragi,Rabi       ,Karnataka,33833,Laterile Soil,high,Low,High,Medium,2510.300017,2962
Ragi,Summer     ,Karnataka,10673,Laterile Soil,high,Average,Medium,High,2391.250299,3085.7
Rice,Kharif     ,Karnataka,1079193,Black Soil,high,Average,Medium,Low,2784.253573,3276
Rice,Rabi       ,Karnataka,51782,Black Soil,low,Average,High,Medium,2702.408493,2388.2
Rice,Summer     ,Karnataka,295830,Black Soil,high,Average,Medium,Medium,2314.490494,2712.4
Wheat,Rabi       ,Karnataka,268981,Laterile Soil,low,Low,Low,Medium,2261.531906,1849.4
Banana,Whole Year ,Kerala,30521,Alluvial Soil,high,High,High,High,1878.293445,3625.3
Cotton(lint),Kharif     ,Kerala,10999,Black Soil,high,Low,Medium,Low,2546.209553,3074.8
Groundnut,Kharif     ,Kerala,7021,Laterile Soil,low,High,Low,Low,2475.190676,2384.5
Ragi,Kharif     ,Kerala,1157,Red/Yellow Soil,high,Low,Medium,Low,2840.857412,2792.4
Rice,Autumn     ,Kerala,120217,Black Soil,low,Average,Medium,Low,2607.716528,2820.3
Rice,Summer     ,Kerala,57700,Black Soil,high,High,Medium,High,2900.268758,2630.8
Rice,Winter     ,Kerala,174714,Black Soil,low,Average,Low,High,2290.790732,2187.8
Sugarcane,Whole Year ,Kerala,6160,Laterile Soil,high,Low,High,Medium,2841.445099,2764
Banana,Whole Year ,Meghalaya,5194,Laterile Soil,low,Low,High,Low,2341.325086,3323
Cotton(lint),Kharif     ,Meghalaya,7549,Black Soil,low,Average,Low,High,2733.278819,2533.6
Potato,Whole Year ,Meghalaya,20753,Red/Yellow Soil,high,Average,Medium,Medium,2062.372482,2183.4
Rice,Kharif     ,Meghalaya,105402,Black Soil,low,Average,Medium,Low,2570.54059,2535.8
Sugarcane,Whole Year ,Meghalaya,83,Laterile Soil,high,Average,High,High,1904.593618,2098.7
Wheat,Rabi       ,Meghalaya,4287,Laterile Soil,low,Low,High,High,2419.858754,2237.4
Cotton(lint),Kharif     ,West Bengal,200,Black Soil,high,Average,Medium,Medium,2632.106198,3262.8
Groundnut,Whole Year ,West Bengal,30157,Red/Yellow Soil,high,Low,High,High,2343.709435,3115.4
Potato,Whole Year ,West Bengal,318199,Red/Yellow Soil,low,High,High,Low,2184.868711,2996.9
Ragi,Kharif     ,West Bengal,12895,Red/Yellow Soil,high,Average,High,Low,2753.835541,2755.1
Rice,Autumn     ,West Bengal,425002,Black Soil,low,High,Low,High,2468.961163,2846.4
Rice,Summer     ,West Bengal,1450473,Black Soil,high,Average,Low,Medium,2353.128806,2699.7
Rice,Winter     ,West Bengal,4028620,Black Soil,low,Low,Low,Medium,2512.568776,2763.2
Sugarcane,Whole Year ,West Bengal,26949,Red/Yellow Soil,low,Average,Low,Low,3291.000743,3080.9
Wheat,Rabi       ,West Bengal,367472,Red/Yellow Soil,high,Average,Medium,Medium,2846.050855,2620.2
Banana,Whole Year ,Assam,41922,Alluvial Soil,low,Average,Medium,Medium,2848.7721,2355.9
Cotton(lint),Kharif     ,Assam,1637,Black Soil,low,High,Medium,Medium,2630.663896,2460.1
Onion,Whole Year ,Assam,7365,Red/Yellow Soil,low,High,High,High,2549.945582,2954.7
Potato,Whole Year ,Assam,76748,Alluvial Soil,high,Low,Medium,Medium,1781.175314,2404.7
Rice,Autumn     ,Assam,557220,Black Soil,high,Low,Low,Medium,2296.305896,2748
Rice,Summer     ,Assam,294654,Black Soil,high,Average,Medium,High,2355.827676,3374.8
Rice,Winter     ,Assam,1793994,Black Soil,low,Average,Medium,Medium,1937.532381,2538.6
Sugarcane,Whole Year ,Assam,29107,Red/Yellow Soil,high,Average,Medium,Low,2152.775263,3157.1
Wheat,Rabi       ,Assam,76310,Laterile Soil,high,Average,High,High,1905.749059,3828
Banana,Whole Year ,Goa,1950,Laterile Soil,low,Low,High,Medium,2488.502849,3497.6
Groundnut,Kharif     ,Goa,350,Alluvial Soil,low,Average,Low,High,2745.629791,3757.8
Groundnut,Rabi       ,Goa,1004,Laterile Soil,high,Average,Low,Low,2832.032356,2622.4
Ragi,Kharif     ,Goa,1000,Red/Yellow Soil,high,Low,Low,Medium,2624.435339,2904.6
Rice,Kharif     ,Goa,40500,Black Soil,low,High,High,Medium,2210.981098,2327.06
Rice,Rabi       ,Goa,16213,Red/Yellow Soil,high,Average,High,High,1920.380452,716.12
Sugarcane,Whole Year ,Goa,1335,Alluvial Soil,low,Average,High,Low,1972.93939,5486.3
Banana,Whole Year ,Kerala,39046,Red/Yellow Soil,low,Average,High,Low,2119.305227,4693.9
Cotton(lint),Kharif     ,Kerala,4772,Black Soil,high,Average,Low,Low,2233.342091,4106.7
Groundnut,Kharif     ,Kerala,6921,Red/Yellow Soil,high,High,Low,High,2452.075451,5691.4
Ragi,Kharif     ,Kerala,870,Laterile Soil,high,High,High,Medium,2195.750735,4187.2
Rice,Autumn     ,Kerala,121525,Red/Yellow Soil,high,Low,Medium,High,2601.692768,3507.5
Rice,Summer     ,Kerala,58021,Red/Yellow Soil,low,Low,High,Low,2430.317949,4450.5
Rice,Winter     ,Kerala,170228,Red/Yellow Soil,high,High,Low,High,2503.163714,4439.8
Sugarcane,Whole Year ,Kerala,5780,Red/Yellow Soil,high,High,Medium,Medium,2842.075166,3521.6
Banana,Whole Year ,Meghalaya,5319,Laterile Soil,low,Average,High,Medium,2145.93048,5253.2
Cotton(lint),Kharif     ,Meghalaya,7455,Black Soil,high,Low,Medium,High,2625.611373,5272.7
Potato,Whole Year ,Meghalaya,18339,Alluvial Soil,low,Low,Medium,High,2495.808031,4320.2
Rice,Kharif     ,Meghalaya,102482,Red/Yellow Soil,high,Low,Low,Medium,2399.954116,4334.1
Rice,Rabi       ,Meghalaya,3929,Red/Yellow Soil,high,High,High,Low,2765.576896,4872.1
Sugarcane,Whole Year ,Meghalaya,80,Laterile Soil,high,Average,High,Medium,2763.704246,4850.9
Banana,Whole Year ,Puducherry,282,Laterile Soil,low,Low,Medium,High,2216.052761,3773.3
Cotton(lint),Kharif     ,Puducherry,357,Black Soil,low,Low,Low,Medium,2445.351825,4575.7
Groundnut,Kharif     ,Puducherry,898,Alluvial Soil,high,High,Medium,High,2584.363505,4173.7
Onion,Whole Year ,Puducherry,14,Red/Yellow Soil,low,High,Low,High,2418.097976,4788.9
Ragi,Kharif     ,Puducherry,124,Alluvial Soil,high,High,High,Medium,2675.5064,3375.1
Rice,Kharif     ,Puducherry,25444,Red/Yellow Soil,high,Low,High,Low,2584.357605,6129
Sugarcane,Whole Year ,Puducherry,2798,Alluvial Soil,high,Low,Low,Medium,3049.768372,3898.7
Cotton(lint),Kharif     ,West Bengal,750,Black Soil,low,Average,Medium,Low,2040.916259,4099.3
Groundnut,Kharif     ,West Bengal,4804,Alluvial Soil,high,High,Medium,High,2463.269203,4220.2
Groundnut,Rabi       ,West Bengal,6098,Alluvial Soil,low,High,High,High,2227.449247,3828.2
Groundnut,Summer     ,West Bengal,23233,Alluvial Soil,high,Average,Medium,Low,2681.232237,4326.7
Potato,Summer     ,West Bengal,2478,Alluvial Soil,high,Average,Low,Medium,2014.848433,3904.3
Potato,Winter     ,West Bengal,313373,Red/Yellow Soil,high,High,High,Low,2603.893813,3649.3
Ragi,Kharif     ,West Bengal,12489,Alluvial Soil,low,Low,Medium,High,2310.985471,4011.2
Rice,Autumn     ,West Bengal,427155,Red/Yellow Soil,high,High,Low,Medium,2279.75144,4369.1
Rice,Summer     ,West Bengal,1474338,Red/Yellow Soil,low,Average,Low,High,2066.050539,6331.1
Rice,Winter     ,West Bengal,4248946,Alluvial Soil,low,High,Medium,High,2360.477216,4874.7
Sugarcane,Whole Year ,West Bengal,22883,Red/Yellow Soil,high,Low,Low,Low,2825.350159,1111.87
Wheat,Rabi       ,West Bengal,364155,Alluvial Soil,high,High,Low,Medium,2492.443395,3354.2
Banana,Whole Year ,Andhra Pradesh,49051,Alluvial Soil,high,Average,Low,Medium,2688.304125,2396.1
Cotton(lint),Kharif     ,Andhra Pradesh,1021721,Black Soil,low,High,Low,Low,2999.392547,1754.86
Groundnut,Kharif     ,Andhra Pradesh,1601349,Alluvial Soil,low,High,Low,High,2579.126675,612.12
Groundnut,Rabi       ,Andhra Pradesh,272468,Laterile Soil,high,High,Low,Low,2332.360128,5063.5
Onion,Kharif     ,Andhra Pradesh,17058,Red/Yellow Soil,high,Average,High,Medium,2640.175665,4195.5
Onion,Rabi       ,Andhra Pradesh,13248,Laterile Soil,high,Low,High,Medium,2336.711156,3709.4
Potato,Whole Year ,Andhra Pradesh,2489,Red/Yellow Soil,low,High,High,Medium,2348.673195,3676.5
Ragi,Kharif     ,Andhra Pradesh,83492,Laterile Soil,high,High,Low,High,2044.03216,1159.48
Ragi,Rabi       ,Andhra Pradesh,15760,Alluvial Soil,low,High,Medium,High,2777.877247,4138
Rice,Kharif     ,Andhra Pradesh,3003673,Alluvial Soil,high,Low,Low,High,2384.199227,4959.3
Rice,Rabi       ,Andhra Pradesh,1239053,Alluvial Soil,low,High,Medium,Low,2554.629474,2196.8
Sugarcane,Whole Year ,Andhra Pradesh,237150,Red/Yellow Soil,high,Average,High,Low,2189.211421,2209.6
Wheat,Rabi       ,Andhra Pradesh,14261,Laterile Soil,high,Low,Medium,High,2630.784289,1668.5
Banana,Whole Year ,Assam,42534,Laterile Soil,low,High,High,High,2271.417629,2139
Cotton(lint),Kharif     ,Assam,1673,Black Soil,low,Low,High,High,2457.487383,1877.7
Onion,Whole Year ,Assam,7359,Red/Yellow Soil,low,Low,Low,Medium,2763.347809,1973.4
Potato,Whole Year ,Assam,80504,Laterile Soil,low,Average,Low,Low,2737.227794,2184.5
Rice,Autumn     ,Assam,539665,Alluvial Soil,high,Average,Low,Low,2493.390978,2281.3
Rice,Summer     ,Assam,329255,Alluvial Soil,high,Low,High,Low,1969.56069,2457.5
Rice,Winter     ,Assam,1777257,Alluvial Soil,high,High,Low,Medium,3397.843171,3063.9
Sugarcane,Whole Year ,Assam,26768,Laterile Soil,high,Low,Low,High,3023.757691,2213.3
Wheat,Rabi       ,Assam,70301,Alluvial Soil,high,Low,Low,Low,2716.802447,2419.5
Banana,Whole Year ,Goa,2000,Laterile Soil,low,Average,Medium,Low,2274.038866,3774.3
Groundnut,Kharif     ,Goa,360,Laterile Soil,low,High,High,Medium,2465.922351,2531
Groundnut,Rabi       ,Goa,1421,Alluvial Soil,low,Average,Medium,High,2336.973871,2773.6
Ragi,Kharif     ,Goa,500,Laterile Soil,high,Average,High,Medium,2879.156782,3215.3
Rice,Kharif     ,Goa,41000,Alluvial Soil,low,Low,Low,Medium,2578.750867,2790.9
Rice,Rabi       ,Goa,16207,Alluvial Soil,high,Average,Medium,Medium,2264.750842,2779.5
Sugarcane,Whole Year ,Goa,1250,Laterile Soil,high,High,Low,Low,2358.77347,3335.3
Banana,Whole Year ,Karnataka,35335,Red/Yellow Soil,low,Average,Medium,Medium,2836.356443,3278
Cotton(lint),Kharif     ,Karnataka,551763,Black Soil,low,Low,Low,High,2980.029354,3266.2
Groundnut,Kharif     ,Karnataka,883611,Alluvial Soil,high,Average,High,Low,2958.499469,2495.6
Groundnut,Rabi       ,Karnataka,179804,Red/Yellow Soil,low,Low,High,Medium,2727.10962,3433.2
Onion,Whole Year ,Karnataka,120358,Red/Yellow Soil,low,Average,High,Low,2424.212539,4155.3
Potato,Whole Year ,Karnataka,38298,Red/Yellow Soil,low,Average,High,Low,1527.545852,3281.6
Ragi,Kharif     ,Karnataka,983456,Laterile Soil,high,Low,Low,Medium,2589.148007,3604
Ragi,Rabi       ,Karnataka,28464,Laterile Soil,high,High,Low,Medium,2499.451372,3434.4
Ragi,Summer     ,Karnataka,10781,Red/Yellow Soil,low,High,High,High,2541.994629,2707
Rice,Kharif     ,Karnataka,1120549,Alluvial Soil,high,High,Low,Medium,2516.169204,3348.9
Rice,Rabi       ,Karnataka,52005,Black Soil,high,Average,High,Low,2102.121351,2287.4
Rice,Summer     ,Karnataka,310892,Black Soil,low,High,Low,Low,2667.222567,3068.8
Sugarcane,Whole Year ,Karnataka,417141,Alluvial Soil,high,Low,Low,Medium,2689.664894,2520.5
Wheat,Rabi       ,Karnataka,266310,Alluvial Soil,low,High,Medium,Low,2704.701635,2274.9
Banana,Whole Year ,Kerala,45059,Alluvial Soil,high,Low,High,Medium,2783.973101,3616.7
Cotton(lint),Kharif     ,Kerala,3847,Alluvial Soil,low,Low,High,Low,2681.215493,2316.6
Groundnut,Kharif     ,Kerala,3677,Alluvial Soil,high,High,High,Low,2376.991177,2596.8
Ragi,Kharif     ,Kerala,1955,Alluvial Soil,high,High,High,High,2478.748946,2036
Rice,Autumn     ,Kerala,129752,Alluvial Soil,low,High,Medium,Medium,2527.33746,2389.2
Rice,Summer     ,Kerala,55258,Alluvial Soil,high,Low,High,High,2532.309835,2451.8
Rice,Winter     ,Kerala,162445,Alluvial Soil,high,Low,Medium,High,2799.465297,2545.7
Sugarcane,Whole Year ,Kerala,3367,Alluvial Soil,high,Average,Low,Low,2693.100626,2335.5
Banana,Whole Year ,Meghalaya,5377,Red/Yellow Soil,high,Average,High,Low,3123.203032,2259.6
Cotton(lint),Kharif     ,Meghalaya,7340,Black Soil,high,Average,Low,Medium,3161.940694,3020.7
Potato,Whole Year ,Meghalaya,18318,Laterile Soil,low,High,Medium,Low,2523.894875,2244.4
Rice,Kharif     ,Meghalaya,102657,Black Soil,low,Low,Medium,Medium,1349.003335,1749.9
Rice,Rabi       ,Meghalaya,4003,Black Soil,low,Low,Medium,Medium,2871.04974,2855.7
Sugarcane,Whole Year ,Meghalaya,86,Black Soil,low,Low,Low,Medium,2337.887098,2193.7
Wheat,Rabi       ,Meghalaya,4215,Black Soil,low,Average,Low,High,2259.554823,3440.3
Banana,Whole Year ,Puducherry,239,Black Soil,high,Average,Low,Medium,2380.466418,2042.9
Cotton(lint),Kharif     ,Puducherry,452,Black Soil,low,Average,Low,Medium,2366.007086,2403.2
Groundnut,Kharif     ,Puducherry,1175,Black Soil,high,Low,High,Medium,2683.680943,2767.5
Onion,Whole Year ,Puducherry,13,Black Soil,low,Average,Low,Low,2032.169266,2498.6
Ragi,Kharif     ,Puducherry,125,Black Soil,low,High,Low,Medium,2176.683776,2952.1
Rice,Kharif     ,Puducherry,42779,Black Soil,high,High,Medium,High,2602.947566,2544.7
Sugarcane,Whole Year ,Puducherry,2464,Black Soil,low,Average,High,Low,2686.883209,2664.1
Cotton(lint),Kharif     ,West Bengal,1188,Black Soil,high,Average,Medium,High,2692.462493,2790.6
Groundnut,Kharif     ,West Bengal,2020,Black Soil,low,Average,Medium,High,2263.889116,2663.4
Groundnut,Rabi       ,West Bengal,8513,Black Soil,low,Low,High,Low,2206.520305,2521.1
Groundnut,Summer     ,West Bengal,25741,Red/Yellow Soil,low,Average,Low,Medium,2348.00955,2277.8
Potato,Whole Year ,West Bengal,299664,Red/Yellow Soil,low,High,Low,Medium,2571.961826,2377
Ragi,Kharif     ,West Bengal,12651,Red/Yellow Soil,low,Low,High,High,2945.643211,2887.3
Rice,Autumn     ,West Bengal,393944,Red/Yellow Soil,high,High,Medium,Low,1885.768844,3096.2
Rice,Summer     ,West Bengal,1401841,Red/Yellow Soil,high,Average,Low,High,2433.781373,2743.5
Rice,Winter     ,West Bengal,3639538,Red/Yellow Soil,high,Low,Medium,Medium,2100.196468,2760.5
Sugarcane,Whole Year ,West Bengal,21609,Red/Yellow Soil,high,High,Medium,High,2004.327197,2343.8
Wheat,Rabi       ,West Bengal,426000,Red/Yellow Soil,high,Average,Medium,High,2790.086994,3165.1
Banana,Whole Year ,Andhra Pradesh,50507,Red/Yellow Soil,low,High,Low,High,2663.387372,2601.1
Cotton(lint),Kharif     ,Andhra Pradesh,1107852,Alluvial Soil,low,Average,Low,Medium,2634.830055,2519.9
Groundnut,Kharif     ,Andhra Pradesh,1438665,Alluvial Soil,high,Average,Medium,Medium,2776.307752,3106.8
Groundnut,Rabi       ,Andhra Pradesh,252453,Alluvial Soil,low,High,Low,Low,2356.084331,2344.2
Onion,Kharif     ,Andhra Pradesh,17736,Alluvial Soil,high,High,High,High,2370.208745,2623.6
Onion,Rabi       ,Andhra Pradesh,14089,Alluvial Soil,low,Average,Low,Low,3155.719185,2999.7
Potato,Whole Year ,Andhra Pradesh,2348,Alluvial Soil,high,Low,High,High,2426.028684,2261.9
Ragi,Kharif     ,Andhra Pradesh,68733,Alluvial Soil,high,Low,Medium,Medium,2720.539634,2440.6
Ragi,Rabi       ,Andhra Pradesh,12994,Alluvial Soil,low,High,Low,High,2501.914462,2691.4
Rice,Kharif     ,Andhra Pradesh,2426073,Alluvial Soil,low,High,High,Medium,1945.522441,2550.5
Rice,Rabi       ,Andhra Pradesh,1398674,Black Soil,high,Average,High,Low,1886.611299,2511.7
Sugarcane,Whole Year ,Andhra Pradesh,218298,Black Soil,high,Low,Medium,Medium,2326.304734,2793.1
Wheat,Rabi       ,Andhra Pradesh,13793,Alluvial Soil,low,Low,High,Medium,2816.830376,2634.3
Banana,Whole Year ,Assam,43600,Alluvial Soil,low,Average,Low,High,2736.487497,2953.8
Cotton(lint),Kharif     ,Assam,1882,Alluvial Soil,high,High,High,Low,2774.223149,2550.7
Onion,Whole Year ,Assam,7476,Laterile Soil,high,Average,Medium,Low,2203.886146,2800.1
Potato,Whole Year ,Assam,80056,Alluvial Soil,low,Low,Low,Low,2984.761747,2888.7
Rice,Autumn     ,Assam,495698,Black Soil,high,Average,High,High,2210.53201,2339.1
Rice,Summer     ,Assam,325987,Black Soil,low,Average,Low,Medium,2563.84732,3074.9
Rice,Winter     ,Assam,1714736,Black Soil,high,High,Low,High,2496.894313,2678.4
Sugarcane,Whole Year ,Assam,27166,Black Soil,high,Low,Low,Medium,2447.837854,2671.3
Wheat,Rabi       ,Assam,72245,Black Soil,low,Average,High,Low,2901.577641,2324.6
Banana,Whole Year ,Goa,2100,Black Soil,low,Average,High,Medium,2288.466844,2786.5
Groundnut,Kharif     ,Goa,148,Black Soil,low,Average,Medium,Low,2095.118423,2401.6
Groundnut,Rabi       ,Goa,1515,Black Soil,low,Low,Low,Medium,2505.998646,2451.6
Ragi,Kharif     ,Goa,315,Black Soil,low,High,Low,Medium,2380.05198,2709.5
Rice,Kharif     ,Goa,32746,Black Soil,high,High,Medium,High,3513.214876,2677
Rice,Rabi       ,Goa,16637,Black Soil,high,Average,High,High,2702.952243,2703.7
Sugarcane,Whole Year ,Goa,1205,Black Soil,high,High,Medium,High,2377.197827,2524.3
Cotton(lint),Kharif     ,Karnataka,608479,Black Soil,low,Average,High,High,2183.166529,2665.7
Groundnut,Kharif     ,Karnataka,854741,Black Soil,low,High,High,Medium,1935.913477,2679.5
Onion,Whole Year ,Karnataka,125815,Red/Yellow Soil,low,Average,Low,Low,2192.434274,2643.3
Potato,Whole Year ,Karnataka,39156,Red/Yellow Soil,low,High,High,Medium,2534.482532,3185.4
Ragi,Kharif     ,Karnataka,903752,Red/Yellow Soil,high,High,High,Medium,2928.198595,2983.4
Ragi,Rabi       ,Karnataka,40407,Red/Yellow Soil,low,High,Low,Medium,2836.506743,2392.4
Ragi,Summer     ,Karnataka,9271,Red/Yellow Soil,high,Low,Medium,Medium,2568.728449,2613.8
Rice,Kharif     ,Karnataka,1087967,Red/Yellow Soil,low,Low,Medium,Medium,2403.0497,2851.3
Rice,Rabi       ,Karnataka,53480,Red/Yellow Soil,high,Low,High,Low,2580.643707,2559.9
Rice,Summer     ,Karnataka,276277,Red/Yellow Soil,high,Low,Medium,High,2344.408601,2859.1
Sugarcane,Whole Year ,Karnataka,406950,Red/Yellow Soil,low,High,Medium,High,3015.509199,2761.2
Wheat,Rabi       ,Karnataka,260486,Alluvial Soil,high,High,High,Medium,2443.242946,2802.9
Banana,Whole Year ,Kerala,50871,Alluvial Soil,high,High,Medium,Medium,2474.098643,2257.2
Cotton(lint),Kharif     ,Kerala,3760,Alluvial Soil,low,Low,High,Medium,1835.253272,2626.4
Groundnut,Kharif     ,Kerala,2437,Alluvial Soil,high,Average,High,High,2441.369546,2535.8
Ragi,Kharif     ,Kerala,1947,Alluvial Soil,low,High,Medium,High,2750.945241,2342.2
Rice,Autumn     ,Kerala,116540,Alluvial Soil,low,Low,High,Medium,2179.683227,2195.3
Rice,Summer     ,Kerala,43850,Alluvial Soil,low,Low,Medium,High,2274.7839,2295.9
Rice,Winter     ,Kerala,161978,Alluvial Soil,high,Low,High,Low,2737.813305,2511.8
Sugarcane,Whole Year ,Kerala,3267,Alluvial Soil,high,High,Low,Medium,2057.002833,2729.6
Cotton(lint),Kharif     ,Meghalaya,7323,Black Soil,low,Average,Low,Low,2817.340302,2398.9
