Crop,Season,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Cotton(lint),Kharif     ,1,,0,2,1,0.13912659627953744,0.5136389739663093
Groundnut,Whole Year ,2,,1,1,0,0.3654859544997485,0.3797537008677897
Potato,Whole Year ,0,,0,1,2,0.2896977008547008,0.4683511995916284
Ragi,Autumn     ,2,,1,0,2,0.38033473529411754,0.45691360387953034
Rice,Autumn     ,0,,2,2,0,0.253258829059829,0.48060234813680447
Rice,Summer     ,0,,0,2,0,0.38206977275012566,0.3661625829504849
Rice,Winter     ,0,,1,0,0,0.34452617320261436,0.4106862557427259
Sugarcane,Whole Year ,0,,0,2,0,0.48908644796380085,0.46662838182746297
Wheat,Rabi       ,2,,1,1,0,0.482254162644545,0.5839235579377233
Cotton(lint),Summer     ,1,,0,2,0,0.4350436603821015,0.4931884890250128
Groundnut,Rabi       ,3,,0,1,2,0.351185486676722,0.3121107708014293
Onion,Kharif     ,3,,2,2,2,0.5255440218702865,0.5629147524247065
Ragi,Kharif     ,0,,0,0,2,0.25869517772750117,0.5107995150587035
Rice,Kharif     ,0,,0,1,1,0.26996792634489686,0.43392674834099026
Rice,Rabi       ,0,,1,1,2,0.36949850930115624,0.4698187850944359
Rice,Summer     ,0,,0,2,1,0.5458047845651081,0.45238323124042873
Sugarcane,Kharif     ,0,,1,0,2,0.3605576490698843,0.16366130678917815
Banana,Whole Year ,3,,1,1,2,0.3619975935143287,0.43537838182746297
Cotton(lint),Kharif     ,1,,1,1,0,0.26707563926596267,0.367386102603369
Onion,Whole Year ,3,,0,0,1,0.44715406636500743,0.5467234558448187
Potato,Whole Year ,0,,0,1,2,0.44770057214680736,0.37645163348647265
Rice,Autumn     ,0,,2,1,0,0.4353249270990447,0.5125063808065339
Rice,Summer     ,0,,2,1,0,0.32836445399698344,0.481368044920878
Rice,Winter     ,0,,1,2,0,0.322520856963298,0.4242598264420623
Sugarcane,Whole Year ,3,,2,2,2,0.27829646178984413,0.5402469372128637
Wheat,Rabi       ,2,,1,2,2,0.3821422199597787,0.5243906329760082
Banana,Whole Year ,0,,2,0,0,0.2943383109602815,0.48138399693721284
Groundnut,Kharif     ,3,,0,2,0,0.2870223851181498,0.39001084737110764
Groundnut,Rabi       ,3,,2,1,2,0.3438644507290095,0.4378988004083716
Ragi,Kharif     ,3,,0,2,2,0.33892738738059314,0.5233856559469117
Rice,Kharif     ,1,,2,0,2,0.33524546028154845,0.4726103879530372
Rice,Rabi       ,1,,2,1,2,0.41099381070889895,0.6182842011230218
Sugarcane,Whole Year ,2,,1,2,0,0.3817783662644544,0.46219372128637054
Cotton(lint),Kharif     ,1,,1,1,2,0.35408576948215176,0.46570316488004077
Groundnut,Kharif     ,2,,0,2,0,0.38961887330316736,0.477364088820827
Groundnut,Rabi       ,0,,1,1,0,0.3010411985922574,0.4947517866258295
Onion,Kharif     ,3,,1,2,0,0.383756557817999,0.42095775906074523
Onion,Rabi       ,3,,2,0,2,0.3871746475615887,0.5031425472179684
Onion,Summer     ,3,,0,1,1,0.26246504323780795,0.43078420112302196
Potato,Kharif     ,3,,2,2,1,0.45090702011060824,0.4078452016334865
Potato,Rabi       ,3,,0,1,0,0.3093438632478632,0.5277724604389995
Potato,Summer     ,3,,1,0,1,0.38262768728004015,0.46839905564063294
Potato,Whole Year ,0,,0,0,1,0.46363085017596783,0.5201473966309341
Ragi,Kharif     ,2,,1,0,2,0.4456267036199094,0.4672026544155181
Ragi,Rabi       ,2,,0,2,1,0.37840623856209143,0.46256061766207246
Ragi,Summer     ,2,,1,1,2,0.3484792104072397,0.4822932618683001
Rice,Kharif     ,1,,1,1,0,0.4472733969331322,0.5126499489535478
Rice,Rabi       ,1,,1,2,1,0.42669896757164394,0.3710279479326186
Rice,Summer     ,1,,1,1,1,0.3291831307189542,0.4227443848902501
Wheat,Rabi       ,2,,0,0,1,0.31587026294620413,0.28507848392036755
Banana,Whole Year ,0,,2,2,2,0.21953078054298641,0.5683703420112303
Cotton(lint),Kharif     ,1,,0,1,0,0.38743327124183,0.48055449208779993
Groundnut,Kharif     ,2,,2,0,0,0.3695803609854198,0.37043772332822866
Ragi,Kharif     ,3,,0,1,0,0.4615026173956761,0.43550599795814193
Rice,Autumn     ,1,,1,1,0,0.40289505480140764,0.43995661051556917
Rice,Summer     ,1,,2,1,2,0.4764375962795374,0.4097275395610005
Rice,Winter     ,1,,1,0,2,0.32322542282554045,0.3390601071975498
Sugarcane,Whole Year ,2,,0,2,1,0.4616503516842634,0.4309756253190403
Banana,Whole Year ,2,,0,2,0,0.3359288803418803,0.5201473966309341
Cotton(lint),Kharif     ,1,,1,0,2,0.4344592305178482,0.394222179683512
Potato,Whole Year ,3,,1,1,1,0.26580504826546003,0.33835821847881575
Rice,Kharif     ,1,,1,1,0,0.3935496706887883,0.39457312404287903
Sugarcane,Whole Year ,2,,1,2,2,0.2261421865258924,0.32484686064318524
Wheat,Rabi       ,2,,0,2,2,0.35567087833081945,0.3469723072996427
Cotton(lint),Kharif     ,1,,1,1,1,0.40902619356460523,0.5105442827973456
Groundnut,Whole Year ,3,,0,2,2,0.3365282642031171,0.48703101071975496
Potato,Whole Year ,3,,2,2,0,0.2965984693313223,0.46812787136294026
Ragi,Kharif     ,3,,1,2,0,0.439626832830568,0.42955589586523735
Rice,Autumn     ,1,,2,0,2,0.36801436978381086,0.44412008677896886
Rice,Summer     ,1,,1,0,1,0.33889613021618903,0.4207184788157223
Rice,Winter     ,1,,0,0,1,0.3789765651080945,0.43084800918836136
Sugarcane,Whole Year ,3,,1,0,0,0.5746608202614378,0.4815275650842266
Wheat,Rabi       ,3,,1,1,1,0.4628081586224233,0.4080366258295048
Banana,Whole Year ,0,,1,1,1,0.46349223227752634,0.3658754466564574
Cotton(lint),Kharif     ,1,,2,1,1,0.4086636239316239,0.3824974476773864
Onion,Whole Year ,3,,2,2,2,0.38837244394167914,0.4613961204696273
Potato,Whole Year ,0,,0,1,1,0.1951169718451483,0.37366003062787134
Rice,Autumn     ,1,,0,0,1,0.32461183911513314,0.428423302705462
Rice,Summer     ,1,,1,1,2,0.33957457918552025,0.528410541092394
Rice,Winter     ,1,,1,1,1,0.23442241855203616,0.3950197805002552
Sugarcane,Whole Year ,3,,1,1,0,0.2885307347913524,0.49368300153139355
Wheat,Rabi       ,2,,1,2,2,0.22643264429361482,0.600705079122001
Banana,Whole Year ,2,,0,2,1,0.37292680970336844,0.5479996171516079
Groundnut,Kharif     ,0,,1,0,2,0.4375640500251382,0.5895067636549259
Groundnut,Rabi       ,2,,1,0,0,0.45928415183509297,0.4083875701888719
Ragi,Kharif     ,3,,0,0,1,0.4070978730517848,0.4534041602858601
Rice,Kharif     ,1,,2,2,1,0.3031626691804927,0.3612748851454824
Rice,Rabi       ,3,,1,2,2,0.2301107219708396,0.10429747320061256
Sugarcane,Whole Year ,0,,1,2,0,0.24332312468577172,0.8652373660030628
Banana,Whole Year ,3,,1,2,0,0.2801169499748617,0.7388335885655946
Cotton(lint),Kharif     ,1,,1,0,0,0.30878383383609853,0.645163348647269
Groundnut,Kharif     ,3,,2,0,2,0.3637695955253897,0.8979549515058702
Ragi,Kharif     ,2,,2,2,1,0.29933402086475613,0.6580047217968351
Rice,Autumn     ,3,,0,1,2,0.40138078632478624,0.5495788667687596
Rice,Summer     ,3,,0,2,0,0.3583001380090498,0.7000063808065339
Rice,Winter     ,3,,2,0,2,0.37661229612870784,0.6982995150587035
Sugarcane,Whole Year ,3,,2,1,1,0.4618087395676219,0.5518281010719754
Banana,Whole Year ,2,,1,2,1,0.2868100754147812,0.8280532159264931
Cotton(lint),Kharif     ,1,,0,1,2,0.4073935075414781,0.8311638591117917
Potato,Whole Year ,0,,0,1,2,0.37476320537958774,0.6792209035222051
Rice,Kharif     ,3,,0,0,1,0.35066719859225737,0.6814382337927515
Rice,Rabi       ,3,,2,2,0,0.44257840522875813,0.7672600816743237
Sugarcane,Whole Year ,2,,1,2,1,0.4421076535947711,0.7638782542113323
Banana,Whole Year ,2,,0,1,2,0.3044375970336852,0.59197932618683
Cotton(lint),Kharif     ,1,,0,0,1,0.36207939291101054,0.7199783052577845
Groundnut,Kharif     ,0,,2,1,2,0.3970245110608345,0.6558511995916283
Onion,Whole Year ,3,,2,0,2,0.3552282493715434,0.7539880040837161
Ragi,Kharif     ,0,,2,2,1,0.4199362493715435,0.5284583971413986
Rice,Kharif     ,3,,0,2,0,0.3970230279034691,0.9677609749872383
Sugarcane,Whole Year ,0,,0,0,1,0.5140191985922573,0.6119831546707504
Cotton(lint),Kharif     ,1,,1,1,0,0.26041132704876824,0.6439828994384891
Groundnut,Kharif     ,0,,2,1,2,0.3665835100553041,0.6632688871873405
Groundnut,Rabi       ,0,,2,2,2,0.3073024753645047,0.6007369831546707
Groundnut,Summer     ,0,,1,1,0,0.4213756251885369,0.6802577845839713
Potato,Summer     ,0,,1,0,1,0.2538583290598291,0.6128764675855028
Potato,Winter     ,3,,2,2,0,0.4019340907491201,0.5721988259315978
Ragi,Kharif     ,0,,0,1,2,0.3283020289089994,0.6299291730474732
Rice,Autumn     ,3,,2,0,1,0.32045033685268975,0.6870214395099541
Rice,Summer     ,3,,1,0,2,0.26672964781297126,1.0
Rice,Winter     ,0,,2,1,2,0.34074339265962794,0.76767483409903
Sugarcane,Whole Year ,3,,0,0,0,0.4576043637506284,0.1674275778458397
Wheat,Rabi       ,0,,2,0,1,0.37391739441930605,0.5251244257274119
Banana,Whole Year ,0,,1,0,1,0.423153374811463,0.37228815722307296
Cotton(lint),Kharif     ,1,,2,0,0,0.5013555925087984,0.26999744767738637
Groundnut,Kharif     ,0,,2,0,2,0.39570806309703366,0.08770737621235324
Groundnut,Rabi       ,2,,2,0,0,0.3336752458521869,0.7977922409392547
Onion,Kharif     ,3,,1,2,1,0.4110547171945701,0.6593287391526289
Onion,Rabi       ,2,,0,2,1,0.3347690186023127,0.5817859877488515
Potato,Whole Year ,3,,2,2,1,0.3377760671191553,0.5765377743746809
Ragi,Kharif     ,2,,2,0,2,0.26119461035696323,0.1750223328228688
Ragi,Rabi       ,0,,2,1,2,0.4456704994972347,0.6501563297600816
Rice,Kharif     ,0,,0,0,2,0.34670669356460526,0.7811702399183257
Rice,Rabi       ,0,,2,1,0,0.3895498929110105,0.3404957886676876
Sugarcane,Whole Year ,3,,1,2,0,0.2976901510809451,0.34253764675855025
Wheat,Rabi       ,2,,0,1,2,0.4086938886375062,0.2562212863705972
Banana,Whole Year ,2,,2,2,2,0.3183553617395676,0.3312755232261358
Cotton(lint),Kharif     ,1,,0,2,2,0.3651300610859728,0.28959290454313424
Onion,Whole Year ,3,,0,0,1,0.44201805153343376,0.3048589841755998
Potato,Whole Year ,2,,1,0,0,0.4354519341377576,0.3385336906584992
Rice,Autumn     ,0,,1,0,0,0.37415560030165906,0.3539752424706483
Rice,Summer     ,0,,0,2,0,0.24247377828054295,0.3820826952526799
Rice,Winter     ,0,,2,0,1,0.6015191480643539,0.47881572230729963
Sugarcane,Whole Year ,2,,0,0,2,0.5074805658622422,0.3431278713629403
Wheat,Rabi       ,0,,0,0,0,0.4303173572146807,0.37602092904543133
Banana,Whole Year ,2,,1,1,0,0.31901429512317736,0.5921388463501787
Groundnut,Kharif     ,2,,2,2,1,0.3672504653092006,0.3938074272588055
Groundnut,Rabi       ,0,,1,1,2,0.33483506058320767,0.4325070188871873
Ragi,Kharif     ,2,,1,2,1,0.47113041277023626,0.5029670750382849
Rice,Kharif     ,0,,0,0,1,0.3956135915032679,0.4352667177131189
Rice,Rabi       ,0,,1,1,1,0.3166794474610356,0.43344818785094436
Sugarcane,Whole Year ,2,,2,0,0,0.3403151005530417,0.5221094946401226
Banana,Whole Year ,3,,1,1,1,0.4603711520864756,0.512968989280245
Cotton(lint),Kharif     ,1,,0,0,2,0.49648802262443426,0.5110866513527309
Groundnut,Kharif     ,0,,1,2,0,0.49107578406234276,0.3881604134762634
Groundnut,Rabi       ,3,,0,2,1,0.43290840120663654,0.537726518631955
Onion,Whole Year ,3,,1,2,0,0.35676534414278527,0.6529160285860133
Potato,Whole Year ,3,,1,2,0,0.13135893715434888,0.5135432618683001
Ragi,Kharif     ,2,,0,0,1,0.39822725163398687,0.564972562531904
Ragi,Rabi       ,2,,2,0,1,0.37567907792860733,0.5379179428279734
Ragi,Summer     ,3,,2,2,2,0.3863737126696831,0.42188297600816743
Rice,Kharif     ,0,,2,0,1,0.37988165007541463,0.5242789688616641
Rice,Rabi       ,1,,1,2,0,0.2757972224736047,0.35494831546707506
Rice,Summer     ,1,,2,0,0,0.41785383785822006,0.479597371107708
Sugarcane,Whole Year ,0,,0,0,1,0.42349544846656606,0.3921324655436447
Wheat,Rabi       ,0,,2,1,0,0.4272754235796882,0.35295431342521694
Banana,Whole Year ,0,,0,2,1,0.44720289115133227,0.5669984686064318
Cotton(lint),Kharif     ,0,,0,2,0,0.42137141603821016,0.3596063042368555
Groundnut,Kharif     ,0,,2,2,0,0.3448947151835092,0.4043038540071465
Ragi,Kharif     ,0,,2,2,2,0.37047484816490694,0.3148449464012251
Rice,Autumn     ,0,,2,1,1,0.3826891553544495,0.3711874680959673
Rice,Summer     ,0,,0,2,2,0.3839391239316239,0.3811734303215927
Rice,Winter     ,0,,0,1,2,0.45109735972850673,0.3961523736600306
Sugarcane,Whole Year ,0,,1,0,0,0.4243591317244846,0.362621235324145
Banana,Whole Year ,3,,1,2,0,0.5324793946706887,0.35051365492598263
Cotton(lint),Kharif     ,1,,1,0,1,0.542217369029663,0.47192445125063803
Potato,Whole Year ,2,,2,1,0,0.3818237493715434,0.3480889484430832
Rice,Kharif     ,1,,0,1,1,0.08647645424836603,0.2692062276671771
Rice,Rabi       ,1,,0,1,1,0.469092443438914,0.44560362429811123
Sugarcane,Whole Year ,1,,0,0,1,0.33506462996480646,0.34000127616130676
Wheat,Rabi       ,1,,1,0,2,0.31537325867269983,0.5388591117917305
Banana,Whole Year ,1,,1,0,1,0.34576833031674203,0.31594563552833077
Cotton(lint),Kharif     ,1,,1,0,1,0.3421335057817999,0.37342075038284833
Groundnut,Kharif     ,1,,0,2,1,0.42199118728004015,0.43153394589076055
Onion,Whole Year ,1,,1,0,0,0.2582124851684263,0.3886389739663093
Ragi,Kharif     ,1,,2,0,1,0.2945409190548013,0.46098136804492085
Rice,Kharif     ,1,,2,1,2,0.4016962207139265,0.39599285349668195
Sugarcane,Whole Year ,1,,1,2,0,0.4227961812468577,0.4150395610005104
Cotton(lint),Kharif     ,1,,1,1,2,0.4241987161890397,0.43521886166411433
Groundnut,Kharif     ,1,,1,1,2,0.3164628245349421,0.41492789688616644
Groundnut,Rabi       ,1,,0,2,0,0.3020413034188034,0.39222817764165385
Groundnut,Summer     ,3,,1,0,1,0.3376092383107089,0.35341692189892804
Potato,Whole Year ,3,,2,0,1,0.393906944695827,0.36924132210311383
Ragi,Kharif     ,3,,0,2,2,0.48784394444444434,0.45064446145992854
Rice,Autumn     ,3,,2,1,0,0.22140996581196576,0.4839682235834609
Rice,Summer     ,3,,1,0,2,0.3591707825540471,0.42770546197039305
Rice,Winter     ,3,,0,1,1,0.27531334037204624,0.43041730474732004
Sugarcane,Whole Year ,3,,2,1,2,0.2512134733534439,0.36394525267993877
Wheat,Rabi       ,3,,1,1,2,0.44873981749622915,0.49495916283818275
Banana,Whole Year ,3,,2,0,2,0.4168897365510307,0.40498979070954566
Cotton(lint),Kharif     ,0,,1,0,1,0.4097109238310708,0.39203675344563554
Groundnut,Kharif     ,0,,1,1,1,0.44527595575666157,0.48565913731495663
Groundnut,Rabi       ,0,,2,0,0,0.3396390977878331,0.36400906074527817
Onion,Kharif     ,0,,2,2,2,0.3431897297637003,0.4085789943848902
Onion,Rabi       ,0,,1,0,0,0.5406533898944192,0.46857452782031644
Potato,Whole Year ,0,,0,2,2,0.3572218914027149,0.35088055130168455
Ragi,Kharif     ,0,,0,1,1,0.4312568210155857,0.3793868044920878
Ragi,Rabi       ,0,,2,0,2,0.3762982559074912,0.41939446145992854
Rice,Kharif     ,0,,2,2,1,0.23643098064353946,0.3969180704441041
Rice,Rabi       ,1,,1,2,0,0.22162174434389137,0.39072868810617656
Sugarcane,Whole Year ,1,,0,1,1,0.3321530251382603,0.4356176620724859
Wheat,Rabi       ,0,,0,2,1,0.4554626385118149,0.4102858601327208
Banana,Whole Year ,0,,1,0,2,0.43526583634992455,0.4612525523226136
Cotton(lint),Kharif     ,0,,2,2,0,0.44475192282554044,0.3969499744767738
Onion,Whole Year ,2,,1,1,0,0.30137912166918035,0.4367343032159265
Potato,Whole Year ,0,,0,0,0,0.49767766390145796,0.45086778968861657
Rice,Autumn     ,1,,1,2,2,0.30304977626948204,0.36319550791220007
Rice,Summer     ,1,,1,0,1,0.39186709904474604,0.48057044410413474
Rice,Winter     ,1,,2,0,2,0.3750362777777777,0.4173206993363961
Sugarcane,Whole Year ,1,,0,0,1,0.36270433735545493,0.4161881061766207
Wheat,Rabi       ,1,,1,2,0,0.47676662669683245,0.36088246554364467
Banana,Whole Year ,1,,1,2,1,0.3226412378079436,0.43456482899438487
Groundnut,Kharif     ,1,,1,1,0,0.2740368081950728,0.3731655181214905
Groundnut,Rabi       ,1,,0,0,1,0.37732494871794864,0.3811415262889229
Ragi,Kharif     ,1,,2,0,1,0.3456641478129714,0.422281776416539
Rice,Kharif     ,1,,2,1,2,0.6305215877325289,0.417097371107708
Rice,Rabi       ,1,,1,2,2,0.42683565686274505,0.4213565594691169
Sugarcane,Whole Year ,1,,2,1,2,0.34494666339869273,0.3927386421643696
Cotton(lint),Kharif     ,1,,1,2,2,0.29617057038712924,0.41529479326186824
Groundnut,Kharif     ,1,,2,2,1,0.234015454248366,0.4174961715160796
Onion,Whole Year ,3,,1,0,0,0.2985003202614379,0.4117215416028586
Potato,Whole Year ,3,,2,2,1,0.38448530216189036,0.4981974221541603
Ragi,Kharif     ,3,,2,2,1,0.4834586714429361,0.46597434915773356
Ragi,Rabi       ,3,,2,0,1,0.4604089348919054,0.371697932618683
Ragi,Summer     ,3,,0,1,1,0.3930941299648064,0.4070156967840735
Rice,Kharif     ,3,,0,1,1,0.3514453745600804,0.44490173557937723
Rice,Rabi       ,3,,0,2,0,0.39608941855203617,0.3984175599795814
Rice,Summer     ,3,,0,1,2,0.33670402237305175,0.44614599285349665
Sugarcane,Whole Year ,3,,2,1,2,0.5054070384615384,0.4305289688616641
Wheat,Rabi       ,0,,2,2,1,0.3615492574157867,0.4371809596733027
Banana,Whole Year ,0,,2,1,1,0.3693058428858722,0.35013080653394585
Cotton(lint),Kharif     ,0,,0,2,1,0.20871122976370027,0.40902565084226644
Groundnut,Kharif     ,0,,1,2,2,0.3610783172448466,0.39457312404287903
Ragi,Kharif     ,0,,2,1,2,0.43890026168929097,0.3636900204185809
Rice,Autumn     ,0,,0,2,1,0.2952949288587229,0.34025650842266464
Rice,Summer     ,0,,0,1,2,0.3192015837104072,0.3563042368555385
Rice,Winter     ,0,,0,2,0,0.4355991214177979,0.3907446401225115
Sugarcane,Whole Year ,0,,2,0,1,0.26445521191553545,0.42548813169984684
Cotton(lint),Kharif     ,1,,1,0,0,0.4555908250377073,0.3727348136804492
Potato,Whole Year ,1,,1,1,2,0.33568547838109597,0.4350114854517611
Rice,Kharif     ,0,,1,1,1,0.3465132061337355,0.3287870086778969
Sugarcane,Whole Year ,0,,2,1,2,0.2910599492207139,0.3937755232261358
Wheat,Rabi       ,0,,2,2,0,0.4043272694821517,0.3620948187850944
Banana,Whole Year ,3,,2,2,2,0.561327701357466,0.4763431597753956
Cotton(lint),Kharif     ,1,,2,2,1,0.4347534369029663,0.35936702399183257
Groundnut,Kharif     ,0,,0,1,2,0.31063710935143285,0.36957631444614597
Onion,Whole Year ,0,,2,1,1,0.46145957164404217,0.41631572230729963
Ragi,Kharif     ,2,,0,1,2,0.35193467471091,0.5329887697805002
Rice,Kharif     ,1,,1,1,1,0.47947347762694814,0.35226837672281774
Sugarcane,Whole Year ,1,,2,1,2,0.4366523179989944,0.3020833333333333
Cotton(lint),Kharif     ,1,,1,0,0,0.1538606158873806,0.4074623532414497
Groundnut,Kharif     ,1,,0,1,0,0.30009454751131215,0.3110005104645227
Groundnut,Rabi       ,1,,2,2,1,0.4470375985419809,0.3391717713118938
Groundnut,Summer     ,1,,1,1,0,0.38725419356460533,0.35523545176110255
Potato,Whole Year ,1,,2,1,2,0.29861066264454494,0.3217521694742216
Ragi,Kharif     ,1,,0,1,2,0.32803497863247866,0.37007082695252674
Rice,Autumn     ,1,,0,2,0,0.2320585756661639,0.4080047217968351
Rice,Summer     ,1,,2,2,2,0.3691523413775766,0.4936670495150587
Rice,Winter     ,1,,1,0,1,0.5425356757164403,0.43697358346094944
Sugarcane,Whole Year ,1,,0,1,1,0.43652086902966303,0.4036657733537519
Wheat,Rabi       ,1,,2,2,2,0.5410068124685772,0.45608409903011743
Banana,Whole Year ,1,,2,2,2,0.4423627770236299,0.510368810617662
Cotton(lint),Kharif     ,3,,0,2,0,0.4533041234288586,0.4179109239407861
Groundnut,Kharif     ,3,,1,0,1,0.5246917058823529,0.43212417049515056
Groundnut,Rabi       ,3,,2,1,1,0.4042682197083961,0.4427801174068402
Onion,Kharif     ,3,,2,1,2,0.3616972860734037,0.3505455589586524
Onion,Rabi       ,3,,0,0,0,0.4536946342383106,0.44935234813680447
Potato,Whole Year ,3,,1,1,2,0.48545803695324274,0.32845201633486476
Ragi,Kharif     ,3,,0,2,0,0.3396205648567119,0.4504530372639101
Ragi,Rabi       ,3,,0,1,0,0.3214000188536953,0.3835821847881572
Rice,Kharif     ,3,,0,1,0,0.38628879084967316,0.36847562531904027
Rice,Rabi       ,0,,0,2,0,0.43852429864253395,0.4372128637059724
Sugarcane,Whole Year ,0,,0,0,1,0.43600485545500245,0.40388910158243996
Wheat,Rabi       ,0,,1,2,1,0.26841370537958764,0.386788540071465
Banana,Whole Year ,0,,0,1,2,0.5199803469079939,0.3375606176620725
Cotton(lint),Kharif     ,0,,1,2,0,0.3274636804927099,0.37174578866768754
Onion,Whole Year ,0,,1,1,1,0.35582717471090997,0.3783499234303216
Potato,Whole Year ,0,,1,0,1,0.30774351231774755,0.4677131189382338
Rice,Autumn     ,0,,2,0,2,0.5793108725490195,0.38380551301684535
Rice,Summer     ,0,,1,0,2,0.39407270010055295,0.29292687595712097
Rice,Winter     ,1,,1,1,0,0.31164089391654093,0.4291889994895355
Sugarcane,Whole Year ,1,,0,0,0,0.440969599044746,0.36329122001020925
Wheat,Rabi       ,0,,2,0,0,0.43382120010055303,0.3199814956610515
Banana,Whole Year ,0,,1,1,1,0.36165960105580686,0.42260081674323635
Groundnut,Kharif     ,0,,1,1,0,0.4392111649069884,0.2681693466054109
Groundnut,Rabi       ,2,,0,2,0,0.31357778079436904,0.40631380806533945
Ragi,Kharif     ,3,,0,2,0,0.3386436696832579,0.27981431852986216
Rice,Kharif     ,1,,2,2,2,0.22421694419306176,0.34197932618682997
Rice,Rabi       ,1,,2,2,1,0.27597151206636494,0.3842202654415518
Sugarcane,Whole Year ,1,,2,1,1,0.5121390754147812,0.33596541602858604
Banana,Whole Year ,1,,2,2,0,0.49960497435897433,0.3370182491066871
Cotton(lint),Kharif     ,1,,0,2,2,0.38077843011563595,0.3459035222052067
Groundnut,Kharif     ,1,,2,1,1,0.5012266048265459,0.3920208014293007
Ragi,Kharif     ,1,,1,2,0,0.36374501106083446,0.3932650587034201
Rice,Autumn     ,1,,1,0,0,0.3574602586726998,0.391159392547218
Rice,Summer     ,1,,0,2,2,0.38007873177476115,0.32851582440020416
Rice,Winter     ,1,,2,2,2,0.36639605857214674,0.3600370086778969
Sugarcane,Whole Year ,1,,1,2,1,0.3595880098039216,0.3583460949464012
Banana,Whole Year ,1,,0,2,1,0.4620461116138763,0.3518376722817764
Cotton(lint),Kharif     ,1,,2,0,2,0.3871394409250879,0.3856399948953548
Groundnut,Kharif     ,1,,0,0,0,0.4295486498240322,0.3583620469627361
Onion,Whole Year ,3,,2,0,2,0.453598330316742,0.4069199846860643
Potato,Whole Year ,3,,2,1,0,0.40509194042232266,0.3935202909647779
Ragi,Kharif     ,3,,2,2,2,0.30264419356460537,0.4398928024502297
Rice,Kharif     ,3,,2,0,2,0.27379090824534935,0.397635911179173
Sugarcane,Whole Year ,3,,0,1,1,0.3870372523881347,0.3445476008167432
Cotton(lint),Kharif     ,3,,0,1,0,0.3629017368024132,0.4707440020418581
Groundnut,Kharif     ,3,,0,1,0,0.38240759904474597,0.316743236345074
Groundnut,Rabi       ,3,,2,2,2,0.3746062815485167,0.36904989790709547
Groundnut,Summer     ,3,,0,2,0,0.5706566359979889,0.41090798876978046
Potato,Summer     ,0,,1,2,1,0.27549827124183,0.382896248085758
Potato,Winter     ,0,,2,0,0,0.2257456307189542,0.4184532924961715
Ragi,Kharif     ,0,,2,2,2,0.4008831196581195,0.42103751914241955
Rice,Autumn     ,0,,1,0,0,0.34742916892911,0.38048749361919343
Rice,Summer     ,0,,2,2,0,0.39965318275515327,0.3829919601837672
Rice,Winter     ,0,,2,0,1,0.41985040397184503,0.45067636549259826
Sugarcane,Whole Year ,0,,0,1,0,0.4726574683257918,0.3844595456865748
Wheat,Rabi       ,0,,1,2,1,0.26214988788335836,0.4461938489025013
Banana,Whole Year ,0,,1,0,2,0.33383223504273496,0.38685234813680447
Cotton(lint),Kharif     ,1,,1,1,1,0.4081519301156359,0.38265696784073505
Groundnut,Kharif     ,1,,2,2,1,0.4339213371040723,0.4306087289433384
Groundnut,Rabi       ,0,,2,1,0,0.5412355115635997,0.3811734303215927
Onion,Kharif     ,0,,0,2,2,0.4478911993464051,0.4751308065339459
Onion,Rabi       ,0,,1,0,1,0.37153429386626435,0.3957695252679939
