Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F027,2,0.870447705807702,3,-1.6284788302567048,1.6585279358495537,-0.34433226723740606,0,0,-0.6432469365260669
F028,8,0.00888444096668102,1,0.8925693429740408,-0.14605157098082452,1.5865382456497459,4,1,0.9109990817065939
F029,9,0.24313168974567512,2,-1.1516236772555812,1.6725713561361717,0.7448573321528765,4,2,-1.2417583255631177
F030,4,0.22864067528362786,3,1.4803210431847278,-1.1431344113306834,0.26043666251439085,1,2,1.3590875426142335
F031,0,-0.8607937919730863,1,0.3639624679417875,-0.7288535128754602,-1.150438537807699,0,2,-0.9864762346779175
F032,1,0.6916285873460386,1,1.2917969129284697,0.3805766897673404,-0.20581823201265168,0,1,0.5504276841279334
F033,0,1.3896607539828556,0,1.0663072669356903,-1.009721918607815,1.4692176147216747,1,2,1.3683009960526606
F034,8,0.06634131330869852,0,-0.05744441145455401,1.6795930662794805,-1.0702063643988247,1,1,1.3345471085060971
F035,6,0.08018023211995344,0,1.3546382896805558,-0.7358752230187691,0.559415044556894,4,2,-0.48586945899611156
F036,2,1.3853134496442416,2,-0.20530647440063893,0.7527273273627104,-1.09972574895492,1,2,-0.6613329886030447
F037,6,-0.7163183777864749,2,-1.3771133232483608,1.426811501120361,0.99085220345367,1,2,0.6269599605421649
F038,0,1.2770655716127486,0,0.2974245396160494,0.5490977332067533,1.4298584353135482,4,0,-0.765380398243038
F039,2,-0.24985262225317315,1,1.8684589584182005,0.3595115593374139,-1.251107208216947,0,2,0.9567918125870913
F040,2,-0.6386465402699015,3,-0.7597892104484566,-0.7288535128754602,1.448024210424991,3,2,-1.65672459178701
F041,5,0.8392195696419901,1,1.2104727783081228,1.820027269145658,0.6018018531502611,3,0,1.0553314532542821
F042,7,1.1884530181773294,4,-1.5249753861944453,-1.2765469040535518,-0.05822130923217561,0,2,-0.8528263266572595
F043,2,-1.2764685418169124,1,-1.3142719464962747,0.4227069506271936,-1.1814717369564145,3,2,1.4090060985506387
F044,6,-1.2378499882755563,2,-0.09810647876472744,0.0926865738916768,-0.17327121827131595,3,1,-0.5968625261723042
F045,8,0.5196927007538475,4,0.12368661565439992,-1.2976120344834783,-0.6599626097987321,2,0,-0.7135048911621186
F046,1,-1.0300488408897985,4,-1.1479271256819292,-0.9746133678912706,0.3414257432195752,0,0,0.8610957160384443
F047,4,0.6716309873884134,0,-0.38643750150959266,0.19801222604131002,0.33385667025647375,3,0,1.121322794982302
F048,4,-1.2866122519403453,4,1.6392727608517688,0.4227069506271936,-0.4941999119068126,4,2,-1.8839684114275055
F049,0,1.5027631218591349,4,-0.9630995469993233,-1.5855021503591418,0.9424101364898214,0,0,-0.1053843607233041
F050,8,0.2701574317173934,3,-0.305113366889246,-1.1501561214739922,1.368548944312427,4,0,1.2414444723913005
